,Unnamed: 0,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,0.0,1.0,0.0,3,"Braund, Mr. Owen Harris",male,22.0,1.0,0.0,A/5 21171,7.25,,S
1,1.0,2.0,1.0,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1.0,0.0,PC 17599,71.2833,C85,C
2,2.0,3.0,1.0,3,"Heikkinen, Miss. Laina",female,26.0,0.0,0.0,STON/O2. 3101282,7.925,,S
3,3.0,4.0,1.0,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1.0,0.0,113803,53.1,C123,S
4,4.0,5.0,0.0,3,"Allen, Mr. William Henry",male,35.0,0.0,0.0,373450,8.05,,S
5,5.0,6.0,0.0,3,"Moran, Mr. James",male,,0.0,0.0,330877,8.4583,,Q
6,6.0,7.0,0.0,1,"McCarthy, Mr. Timothy J",male,54.0,0.0,0.0,17463,51.8625,E46,S
7,7.0,8.0,0.0,3,"Palsson, Master. Gosta Leonard",male,2.0,3.0,1.0,349909,21.075,,S
8,8.0,9.0,1.0,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0.0,2.0,347742,11.1333,,S
9,9.0,10.0,1.0,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1.0,0.0,237736,30.0708,,C
10,10.0,11.0,1.0,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1.0,1.0,PP 9549,16.7,G6,S
11,11.0,12.0,1.0,1,"Bonnell, Miss. Elizabeth",female,58.0,0.0,0.0,113783,26.55,C103,S
12,12.0,13.0,0.0,3,"Saundercock, Mr. William Henry",male,20.0,0.0,0.0,A/5. 2151,8.05,,S
13,13.0,14.0,0.0,3,"Andersson, Mr. Anders Johan",male,39.0,1.0,5.0,347082,31.275,,S
14,14.0,15.0,0.0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0.0,0.0,350406,7.8542,,S
15,15.0,16.0,1.0,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0.0,0.0,248706,16.0,,S
16,16.0,17.0,0.0,3,"Rice, Master. Eugene",male,2.0,4.0,1.0,382652,29.125,,Q
17,17.0,18.0,1.0,2,"Williams, Mr. Charles Eugene",male,,0.0,0.0,244373,13.0,,S
18,18.0,19.0,0.0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1.0,0.0,345763,18.0,,S
19,19.0,20.0,1.0,3,"Masselmani, Mrs. Fatima",female,,0.0,0.0,2649,7.225,,C
20,20.0,21.0,0.0,2,"Fynney, Mr. Joseph J",male,35.0,0.0,0.0,239865,26.0,,S
21,21.0,22.0,1.0,2,"Beesley, Mr. Lawrence",male,34.0,0.0,0.0,248698,13.0,D56,S
22,22.0,23.0,1.0,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0.0,0.0,330923,8.0292,,Q
23,23.0,24.0,1.0,1,"Sloper, Mr. William Thompson",male,28.0,0.0,0.0,113788,35.5,A6,S
24,24.0,25.0,0.0,3,"Palsson, Miss. Torborg Danira",female,8.0,3.0,1.0,349909,21.075,,S
25,25.0,26.0,1.0,?,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1.0,5.0,347077,31.3875,,S
26,26.0,27.0,0.0,3,"Emir, Mr. Farred Chehab",male,,0.0,0.0,2631,7.225,,C
27,27.0,28.0,0.0,1,"Fortune, Mr. Charles Alexander",male,19.0,3.0,2.0,19950,263.0,C23 C25 C27,S
28,28.0,29.0,1.0,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0.0,0.0,330959,7.8792,,Q
29,29.0,30.0,0.0,3,"Todoroff, Mr. Lalio",male,,0.0,0.0,349216,7.8958,,S
30,30.0,31.0,0.0,1,"Uruchurtu, Don. Manuel E",male,40.0,0.0,0.0,PC 17601,27.7208,,C
31,31.0,32.0,1.0,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1.0,0.0,PC 17569,146.5208,B78,C
32,32.0,33.0,1.0,3,"Glynn, Miss. Mary Agatha",female,,0.0,0.0,335677,7.75,,Q
33,33.0,34.0,0.0,2,"Wheadon, Mr. Edward H",male,66.0,0.0,0.0,C.A. 24579,10.5,,S
34,34.0,35.0,0.0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1.0,0.0,PC 17604,82.1708,,C
35,35.0,36.0,0.0,1,"Holverson, Mr. Alexander Oskar",male,42.0,1.0,0.0,113789,52.0,,S
36,36.0,37.0,1.0,3,"Mamee, Mr. Hanna",male,,0.0,0.0,2677,7.2292,,C
37,37.0,38.0,0.0,?,"Cann, Mr. Ernest Charles",male,21.0,0.0,0.0,A./5. 2152,8.05,,S
38,38.0,39.0,0.0,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2.0,0.0,345764,18.0,,S
39,39.0,40.0,1.0,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1.0,0.0,2651,11.2417,,C
40,40.0,41.0,0.0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1.0,0.0,7546,9.475,,S
41,41.0,42.0,0.0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1.0,0.0,11668,21.0,,S
42,42.0,43.0,0.0,3,"Kraeff, Mr. Theodor",male,,0.0,0.0,349253,7.8958,,C
43,43.0,44.0,1.0,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1.0,2.0,SC/Paris 2123,41.5792,,C
44,44.0,45.0,1.0,3,"Devaney, Miss. Margaret Delia",female,19.0,0.0,0.0,330958,7.8792,,Q
45,45.0,46.0,0.0,3,"Rogers, Mr. William John",male,,0.0,0.0,S.C./A.4. 23567,8.05,,S
46,46.0,47.0,0.0,3,"Lennon, Mr. Denis",male,,1.0,0.0,370371,15.5,,Q
47,47.0,48.0,1.0,3,"O'Driscoll, Miss. Bridget",female,,0.0,0.0,14311,7.75,,Q
48,48.0,49.0,0.0,3,"Samaan, Mr. Youssef",male,,2.0,0.0,2662,21.6792,,C
49,49.0,50.0,0.0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1.0,0.0,349237,17.8,,S
50,50.0,51.0,0.0,3,"Panula, Master. Juha Niilo",male,7.0,4.0,1.0,3101295,39.6875,,S
51,51.0,52.0,0.0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0.0,0.0,A/4. 39886,7.8,,S
52,52.0,53.0,1.0,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1.0,0.0,PC 17572,76.7292,D33,C
53,53.0,54.0,1.0,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1.0,0.0,2926,26.0,,S
54,54.0,55.0,0.0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0.0,1.0,113509,61.9792,B30,C
